可能区域,室内/室外,大区域,小区域,物体名,朝向,题材风格,状态,是否抠图,尺寸,是否静态,滤镜模板序号,变体序号
民居-客栈-大宅,室内,民居,堂屋,椅子,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,高脚椅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,凳子,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,书房椅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,餐椅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,蒲团,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,圈椅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,太师椅,无,国风仙侠,正常,抠图,64,静态,,1
大宅-衙门-门派,室内,大宅,会客厅,王座,无,国风仙侠,正常,抠图,128,静态,,1
园林-公园-城镇,室外,园林,回廊,长椅,无,国风仙侠,正常,抠图,128,静态,,1
大宅-民居-客栈,室内,大宅,会客厅,软榻,无,国风仙侠,正常,抠图,128,静态,,1
大宅-民居-客栈,室内,大宅,会客厅,罗汉床,无,国风仙侠,正常,抠图,128,静态,,1
大宅-民居-客栈,室内,大宅,会客厅,贵妃榻,无,国风仙侠,正常,抠图,128,静态,,1
大宅-民居-客栈,室内,大宅,会客厅,懒人榻,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,单人床,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,双人床,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,儿童床,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,上下铺,无,国风仙侠,正常,抠图,128,静态,,1
医馆,室内,医馆,病房,病床,无,国风仙侠,正常,抠图,128,静态,,1
农舍-村庄-地牢,室内,农舍,起居室,稻草床,无,国风仙侠,正常,抠图,128,静态,,1
园林-公园-渔场,室外,园林,后院,吊床,无,国风仙侠,正常,抠图,128,静态,,1
荒野-山地-古战场,室外,荒野,营地,睡袋,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,书桌,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,案桌,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,堂屋,餐桌,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,堂屋,木桌,无,国风仙侠,正常,抠图,128,静态,,1
